                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6448,                 4.3706,                   3.95,                0.00024,                0.02659,                0.00022,                  8e-05,                 4.1376,                  4.971,                 4.2654,              0.0033048,              0.0033048,              0.0033048
                      2,                 2.3283,                 2.4828,                 2.3921,                0.44207,                0.13865,                0.09728,                0.04332,                 1.8053,                 1.9312,                 1.9918,              0.0065944,              0.0065944,              0.0065944
                      3,                 1.7384,                 1.8704,                 1.7957,                0.62364,                0.18639,                0.16735,                0.07929,                 1.4727,                 1.9809,                 1.6921,              0.0098399,              0.0098399,              0.0098399
                      4,                 1.4145,                 1.4539,                 1.5586,                0.46781,                0.28515,                 0.2669,                0.13537,                 1.3097,                 1.3654,                 1.5719,               0.009802,               0.009802,               0.009802
                      5,                    1.2,                 1.1924,                 1.4098,                0.55565,                0.29749,                0.32118,                 0.1736,                 1.1201,                  1.143,                 1.4035,               0.009802,               0.009802,               0.009802
                      6,                 1.0646,                 1.0353,                 1.3221,                0.65305,                0.38121,                0.41765,                0.23572,                0.93548,                0.98618,                 1.2957,               0.009736,               0.009736,               0.009736
                      7,                0.98614,                0.95361,                 1.2742,                0.63058,                0.38861,                0.44425,                0.25637,                0.89597,                0.88971,                 1.2632,                0.00967,                0.00967,                0.00967
                      8,                 0.9275,                 0.8813,                 1.2358,                0.72858,                0.47633,                0.56354,                 0.3321,                0.81555,                0.78083,                 1.2182,               0.009604,               0.009604,               0.009604
                      9,                0.87723,                0.83064,                 1.2067,                0.63459,                0.51211,                0.55916,                0.33061,                0.79685,                 0.7527,                 1.2026,               0.009538,               0.009538,               0.009538
                     10,                0.84711,                0.79277,                 1.1876,                0.73184,                0.53042,                0.61411,                0.36612,                0.79139,                0.72281,                 1.1797,               0.009472,               0.009472,               0.009472
                     11,                0.81282,                0.75926,                 1.1697,                0.69512,                0.60248,                0.66589,                0.40889,                0.70681,                0.66103,                 1.1496,               0.009406,               0.009406,               0.009406
                     12,                0.78672,                0.72636,                 1.1553,                0.70643,                0.59441,                0.66185,                0.40547,                0.69769,                0.66415,                 1.1444,                0.00934,                0.00934,                0.00934
                     13,                 0.7675,                0.70773,                 1.1441,                0.72376,                0.61506,                0.68376,                0.43123,                0.67717,                0.63516,                 1.1276,               0.009274,               0.009274,               0.009274
                     14,                 0.7461,                0.68358,                 1.1298,                0.74653,                0.65029,                0.72069,                0.45983,                0.64341,                0.60258,                 1.1098,               0.009208,               0.009208,               0.009208
                     15,                0.72828,                0.66681,                 1.1217,                 0.7665,                   0.64,                0.71987,                0.46158,                0.63626,                 0.5938,                 1.1058,               0.009142,               0.009142,               0.009142
                     16,                0.71114,                0.64563,                 1.1126,                0.74135,                0.65053,                0.72492,                0.46973,                0.61877,                0.56777,                 1.0965,               0.009076,               0.009076,               0.009076
                     17,                0.69624,                0.63542,                 1.1079,                0.78169,                0.66736,                0.75143,                0.48684,                0.61036,                0.55265,                 1.0873,                0.00901,                0.00901,                0.00901
                     18,                0.68124,                0.62042,                 1.1018,                0.75705,                0.69858,                0.75775,                0.49137,                 0.6001,                0.54198,                 1.0799,               0.008944,               0.008944,               0.008944
                     19,                0.67466,                0.61093,                 1.0965,                0.81046,                0.69761,                0.78335,                0.52221,                0.57628,                0.52857,                 1.0695,               0.008878,               0.008878,               0.008878
                     20,                0.65952,                0.59589,                 1.0856,                0.80185,                0.69557,                 0.7806,                0.51847,                0.57193,                0.52573,                  1.066,               0.008812,               0.008812,               0.008812
                     21,                0.65248,                0.59256,                 1.0825,                0.80015,                0.69744,                0.77789,                0.52472,                0.55989,                 0.5088,                 1.0597,               0.008746,               0.008746,               0.008746
                     22,                0.64196,                0.57894,                 1.0754,                0.80598,                0.72718,                0.80301,                0.54137,                0.54208,                0.48926,                 1.0484,                0.00868,                0.00868,                0.00868
                     23,                0.62718,                0.56632,                 1.0665,                0.82073,                0.70782,                0.80141,                0.53987,                0.53768,                0.49585,                 1.0514,               0.008614,               0.008614,               0.008614
                     24,                0.62689,                0.56358,                 1.0692,                0.79367,                 0.7297,                0.81197,                0.55454,                0.52681,                0.47623,                 1.0414,               0.008548,               0.008548,               0.008548
                     25,                0.61408,                0.55148,                  1.064,                0.79092,                  0.731,                0.80407,                0.54534,                0.52527,                0.47499,                 1.0386,               0.008482,               0.008482,               0.008482
                     26,                0.60267,                0.54055,                 1.0558,                0.84822,                0.74501,                0.83247,                0.56516,                0.51111,                0.45914,                 1.0308,               0.008416,               0.008416,               0.008416
                     27,                0.60079,                0.53717,                 1.0517,                0.84167,                0.74112,                  0.826,                0.57019,                 0.5073,                0.45559,                 1.0276,                0.00835,                0.00835,                0.00835
                     28,                 0.5864,                0.52865,                  1.048,                 0.8567,                0.73122,                0.83256,                0.57535,                0.49536,                0.44881,                 1.0244,               0.008284,               0.008284,               0.008284
                     29,                0.57932,                0.51766,                 1.0448,                0.84654,                 0.7551,                  0.841,                0.58749,                0.48358,                0.43715,                 1.0181,               0.008218,               0.008218,               0.008218
                     30,                0.57314,                0.50941,                 1.0404,                0.86089,                0.75982,                0.84262,                0.59453,                0.47612,                0.42776,                 1.0157,               0.008152,               0.008152,               0.008152
                     31,                0.56957,                0.51308,                 1.0384,                0.86396,                0.77844,                0.85224,                0.59702,                0.47067,                0.42498,                  1.012,               0.008086,               0.008086,               0.008086
                     32,                 0.5636,                0.50509,                 1.0351,                0.84214,                0.77151,                0.84644,                0.59958,                0.46482,                0.42603,                 1.0105,                0.00802,                0.00802,                0.00802
                     33,                0.56057,                0.49756,                 1.0343,                0.85812,                 0.7816,                0.85673,                0.60472,                0.45485,                0.41314,                 1.0057,               0.007954,               0.007954,               0.007954
                     34,                0.54953,                0.49048,                 1.0276,                0.87354,                0.78294,                0.86404,                0.61806,                0.44289,                0.40552,                0.99768,               0.007888,               0.007888,               0.007888
                     35,                0.54772,                0.48715,                 1.0264,                0.87109,                0.78681,                0.86333,                0.61687,                  0.438,                0.39538,                0.99489,               0.007822,               0.007822,               0.007822
                     36,                0.53684,                0.48142,                  1.022,                0.85883,                0.79626,                0.86208,                0.61899,                0.43064,                 0.3909,                0.98882,               0.007756,               0.007756,               0.007756
                     37,                0.53696,                0.47926,                 1.0215,                0.86862,                0.80281,                0.87137,                0.62836,                0.42638,                0.38805,                0.98744,                0.00769,                0.00769,                0.00769
                     38,                0.52851,                 0.4727,                 1.0193,                0.87011,                0.80536,                0.87586,                0.63225,                0.42645,                 0.3861,                0.98764,               0.007624,               0.007624,               0.007624
                     39,                 0.5249,                0.46936,                 1.0149,                 0.8865,                0.78377,                0.87489,                0.63576,                0.42028,                0.38486,                0.98585,               0.007558,               0.007558,               0.007558
                     40,                0.51747,                0.46343,                 1.0117,                0.88749,                0.81182,                0.88359,                0.64125,                0.41138,                0.37426,                0.97968,               0.007492,               0.007492,               0.007492
                     41,                0.51734,                0.46135,                 1.0098,                0.88563,                0.80893,                0.88136,                0.64409,                  0.407,                0.37648,                0.97933,               0.007426,               0.007426,               0.007426
                     42,                0.50754,                0.45368,                 1.0057,                0.88088,                0.81471,                0.88821,                0.65175,                0.39827,                 0.3674,                0.97194,                0.00736,                0.00736,                0.00736
                     43,                0.50394,                0.45001,                 1.0023,                0.88053,                0.82721,                0.89247,                0.65224,                0.39783,                0.36472,                0.97202,               0.007294,               0.007294,               0.007294
                     44,                0.49743,                0.44494,                 1.0047,                0.88678,                 0.8303,                0.89356,                  0.658,                0.38785,                0.35699,                0.96764,               0.007228,               0.007228,               0.007228
                     45,                0.50008,                0.44343,                 1.0023,                0.88521,                0.82822,                0.89694,                0.66274,                0.38433,                0.35473,                0.96538,               0.007162,               0.007162,               0.007162
                     46,                0.48793,                0.43835,                0.99705,                0.88818,                0.83574,                0.89775,                0.66608,                0.38221,                0.35221,                0.96344,               0.007096,               0.007096,               0.007096
                     47,                0.48778,                0.43855,                 1.0001,                0.90073,                0.83078,                0.90638,                0.67229,                0.37557,                0.34619,                0.96318,                0.00703,                0.00703,                0.00703
                     48,                0.48808,                0.43769,                0.99758,                0.90507,                0.83357,                 0.9057,                0.67272,                0.37087,                0.34164,                0.95909,               0.006964,               0.006964,               0.006964
                     49,                 0.4826,                0.43142,                0.99316,                0.90053,                0.83527,                0.90365,                0.67212,                0.36922,                0.34107,                0.95784,               0.006898,               0.006898,               0.006898
                     50,                0.47518,                0.42397,                 0.9909,                0.90547,                0.83209,                0.90455,                0.67524,                0.36626,                0.33971,                0.95557,               0.006832,               0.006832,               0.006832
                     51,                0.47151,                0.42527,                0.98938,                0.89892,                0.83977,                0.90364,                0.67838,                0.36016,                0.33288,                0.95342,               0.006766,               0.006766,               0.006766
                     52,                0.47095,                0.42239,                0.98917,                0.90918,                0.84399,                0.91239,                0.68642,                0.35429,                0.33033,                0.95135,                 0.0067,                 0.0067,                 0.0067
                     53,                0.46602,                0.42009,                0.98676,                  0.917,                 0.8394,                0.91251,                0.69109,                0.34738,                0.32369,                0.94783,               0.006634,               0.006634,               0.006634
                     54,                0.46164,                0.41484,                0.98455,                0.91467,                0.84131,                0.91016,                0.69043,                0.34711,                0.32363,                0.94582,               0.006568,               0.006568,               0.006568
                     55,                0.45907,                0.41147,                0.98283,                0.91894,                0.83962,                0.91124,                0.69431,                0.34138,                0.31944,                0.94369,               0.006502,               0.006502,               0.006502
                     56,                0.45573,                0.41033,                0.97921,                0.90979,                0.85279,                0.91628,                0.69643,                0.34079,                0.31872,                0.94231,               0.006436,               0.006436,               0.006436
                     57,                0.44923,                0.40287,                0.97582,                0.90769,                0.85245,                0.91743,                 0.6992,                0.33524,                0.31399,                0.94004,                0.00637,                0.00637,                0.00637
                     58,                0.45068,                0.40687,                0.97836,                0.91698,                0.85384,                0.92072,                0.70187,                0.33288,                0.31209,                0.93822,               0.006304,               0.006304,               0.006304
                     59,                0.44534,                0.39882,                0.97575,                0.92381,                0.85405,                0.92231,                0.70924,                0.32265,                0.30571,                0.93326,               0.006238,               0.006238,               0.006238
                     60,                0.44304,                0.39851,                0.97509,                0.90652,                0.85894,                0.91795,                0.70491,                0.32329,                0.30535,                0.93307,               0.006172,               0.006172,               0.006172
                     61,                0.44122,                0.39629,                0.97279,                0.91907,                0.85381,                0.92063,                0.71486,                0.31899,                 0.3015,                0.93276,               0.006106,               0.006106,               0.006106
                     62,                0.43645,                0.39451,                0.97178,                0.93002,                0.85226,                0.92353,                0.71594,                0.31492,                0.29939,                0.93012,                0.00604,                0.00604,                0.00604
                     63,                0.43489,                0.38872,                0.96896,                0.91804,                0.86518,                0.92461,                0.71722,                0.31471,                0.29649,                0.92973,               0.005974,               0.005974,               0.005974
                     64,                0.43155,                0.38675,                   0.97,                0.92567,                0.86352,                0.92612,                0.72028,                0.30924,                0.29357,                0.92707,               0.005908,               0.005908,               0.005908
                     65,                 0.4285,                0.38856,                0.96672,                0.92142,                 0.8709,                0.92797,                0.71825,                0.30697,                0.29176,                0.92548,               0.005842,               0.005842,               0.005842
                     66,                 0.4259,                0.38455,                0.96549,                0.91748,                0.87697,                0.92727,                0.72393,                0.30441,                0.29034,                0.92374,               0.005776,               0.005776,               0.005776
                     67,                0.42114,                0.38003,                0.96285,                0.92636,                0.86799,                0.92859,                0.72645,                0.29828,                0.28635,                0.92067,                0.00571,                0.00571,                0.00571
                     68,                 0.4177,                0.37716,                0.96021,                0.92437,                0.86846,                0.93016,                0.72943,                0.29792,                0.28443,                0.92148,               0.005644,               0.005644,               0.005644
                     69,                0.41708,                0.37783,                0.96172,                0.92991,                0.86692,                0.93241,                0.72828,                0.29688,                0.28453,                0.92063,               0.005578,               0.005578,               0.005578
                     70,                0.41326,                0.37445,                0.95895,                0.93844,                 0.8606,                0.93043,                0.73023,                0.29201,                0.28156,                0.91762,               0.005512,               0.005512,               0.005512
                     71,                0.41273,                0.37224,                0.95838,                0.93385,                0.86795,                 0.9315,                0.73229,                0.29009,                0.27942,                0.91636,               0.005446,               0.005446,               0.005446
                     72,                0.41026,                0.36979,                0.95623,                0.92889,                0.87927,                  0.932,                0.73695,                0.28537,                 0.2752,                0.91467,                0.00538,                0.00538,                0.00538
                     73,                0.40656,                0.37103,                0.95724,                0.93307,                 0.8758,                0.93344,                0.73885,                0.28245,                0.27299,                0.91276,               0.005314,               0.005314,               0.005314
                     74,                0.40981,                0.36802,                0.95414,                0.94326,                0.86774,                0.93257,                0.73966,                0.28242,                0.27437,                0.91289,               0.005248,               0.005248,               0.005248
                     75,                0.40251,                0.36489,                0.95399,                0.93235,                0.87601,                 0.9344,                0.74286,                0.27872,                 0.2714,                0.91048,               0.005182,               0.005182,               0.005182
                     76,                0.40504,                0.36596,                0.95476,                 0.9285,                0.87744,                0.93433,                0.74291,                0.27835,                0.26987,                0.91021,               0.005116,               0.005116,               0.005116
                     77,                0.39451,                 0.3593,                0.95036,                0.92708,                0.88045,                0.93491,                0.74639,                0.27527,                0.26707,                0.90884,                0.00505,                0.00505,                0.00505
                     78,                0.39449,                0.35662,                0.94937,                0.93796,                0.88055,                0.93791,                0.74691,                0.27265,                0.26529,                0.90757,               0.004984,               0.004984,               0.004984
                     79,                0.39058,                0.35605,                0.94864,                0.93075,                0.88189,                0.93685,                0.74863,                0.26985,                0.26243,                0.90575,               0.004918,               0.004918,               0.004918
                     80,                0.39376,                0.35549,                0.94915,                0.93557,                0.88064,                0.93783,                0.75121,                0.26805,                0.26184,                0.90535,               0.004852,               0.004852,               0.004852
                     81,                0.38691,                0.35359,                0.94899,                0.94048,                0.88153,                0.93992,                 0.7535,                 0.2657,                0.25996,                0.90416,               0.004786,               0.004786,               0.004786
                     82,                0.38665,                0.34997,                0.94653,                 0.9476,                0.87621,                0.94054,                0.75543,                0.26305,                0.25807,                0.90332,                0.00472,                0.00472,                0.00472
                     83,                0.38164,                0.34755,                0.94473,                0.94277,                0.88182,                0.94079,                0.75618,                0.26155,                0.25734,                0.90215,               0.004654,               0.004654,               0.004654
                     84,                0.37896,                0.34721,                0.94341,                0.94083,                 0.8815,                 0.9413,                  0.757,                0.25848,                0.25614,                0.90073,               0.004588,               0.004588,               0.004588
                     85,                0.38163,                0.34752,                0.94503,                0.94049,                0.88174,                0.94143,                0.75777,                0.25698,                0.25437,                0.89962,               0.004522,               0.004522,               0.004522
                     86,                0.37799,                0.34217,                0.94092,                0.94161,                 0.8828,                 0.9428,                  0.759,                 0.2555,                0.25215,                0.89898,               0.004456,               0.004456,               0.004456
                     87,                0.37688,                0.34259,                0.94178,                 0.9362,                0.88501,                0.94313,                 0.7616,                 0.2528,                0.24977,                0.89759,                0.00439,                0.00439,                0.00439
                     88,                0.37153,                0.33881,                0.93837,                0.93665,                0.89094,                0.94378,                0.76266,                0.25104,                0.24801,                0.89661,               0.004324,               0.004324,               0.004324
                     89,                0.37176,                0.34141,                0.93951,                0.93472,                0.89349,                 0.9445,                 0.7643,                0.24936,                0.24713,                0.89576,               0.004258,               0.004258,               0.004258
                     90,                0.36525,                0.33649,                 0.9371,                0.93701,                0.89418,                0.94408,                0.76465,                0.24702,                 0.2463,                0.89458,               0.004192,               0.004192,               0.004192
                     91,                0.36994,                0.33659,                0.93918,                0.94072,                0.89007,                0.94388,                0.76561,                0.24567,                0.24456,                0.89394,               0.004126,               0.004126,               0.004126
                     92,                0.36028,                0.33187,                0.93493,                0.94047,                0.89316,                0.94408,                0.76773,                0.24308,                0.24315,                0.89296,                0.00406,                0.00406,                0.00406
                     93,                0.36073,                0.33196,                0.93606,                0.93504,                0.90111,                0.94527,                0.77056,                 0.2416,                0.24218,                0.89177,               0.003994,               0.003994,               0.003994
                     94,                0.35807,                0.33014,                0.93346,                0.94219,                0.89748,                0.94559,                0.77119,                0.23927,                0.24023,                0.89078,               0.003928,               0.003928,               0.003928
                     95,                0.35787,                0.32881,                0.93167,                0.93663,                0.90061,                0.94564,                0.77167,                0.23806,                 0.2396,                0.88999,               0.003862,               0.003862,               0.003862
                     96,                0.35551,                0.32501,                0.93065,                0.93696,                0.90326,                0.94647,                0.77164,                0.23652,                0.23789,                0.88914,               0.003796,               0.003796,               0.003796
                     97,                0.35413,                0.32386,                0.93079,                0.94214,                0.90133,                0.94794,                0.77448,                0.23442,                0.23613,                0.88831,                0.00373,                0.00373,                0.00373
                     98,                0.35186,                0.32244,                0.93048,                0.95064,                0.89427,                0.94864,                0.77451,                0.23262,                0.23488,                0.88747,               0.003664,               0.003664,               0.003664
                     99,                0.34474,                0.31916,                0.92845,                0.95069,                0.89478,                0.94906,                0.77658,                0.23058,                0.23376,                0.88644,               0.003598,               0.003598,               0.003598
                    100,                0.34721,                0.32017,                0.92986,                0.95161,                0.89847,                0.95047,                0.77863,                0.22933,                0.23281,                0.88558,               0.003532,               0.003532,               0.003532
                    101,                0.34408,                0.31673,                 0.9253,                0.94927,                0.90123,                0.95097,                0.77979,                0.22831,                0.23198,                0.88489,               0.003466,               0.003466,               0.003466
                    102,                 0.3424,                0.31627,                0.92513,                0.94791,                0.90338,                0.95126,                0.78043,                 0.2263,                0.23054,                  0.884,                 0.0034,                 0.0034,                 0.0034
                    103,                0.33935,                0.31533,                0.92382,                0.94701,                0.90438,                0.95142,                0.78201,                0.22533,                0.22972,                0.88336,               0.003334,               0.003334,               0.003334
                    104,                0.34083,                0.31536,                0.92564,                0.94567,                0.90476,                0.95202,                0.78321,                0.22415,                0.22859,                0.88273,               0.003268,               0.003268,               0.003268
                    105,                0.33642,                0.31133,                0.92307,                0.95168,                0.89831,                0.95168,                0.78316,                0.22326,                0.22783,                0.88209,               0.003202,               0.003202,               0.003202
                    106,                0.33599,                0.31257,                0.92322,                0.95348,                0.89825,                 0.9524,                 0.7842,                0.22151,                0.22672,                0.88135,               0.003136,               0.003136,               0.003136
                    107,                0.33299,                0.30831,                0.92151,                0.95532,                0.90067,                0.95263,                0.78567,                0.22039,                0.22571,                0.88073,                0.00307,                0.00307,                0.00307
                    108,                0.33063,                0.30551,                 0.9183,                0.95085,                0.90258,                0.95187,                0.78589,                0.21948,                0.22486,                0.88019,               0.003004,               0.003004,               0.003004
                    109,                0.32705,                0.30285,                0.91761,                0.95066,                 0.9033,                0.95249,                0.78699,                0.21821,                0.22355,                0.87967,               0.002938,               0.002938,               0.002938
                    110,                0.33166,                0.30688,                0.91917,                0.94959,                0.90536,                0.95289,                0.78818,                0.21721,                0.22286,                0.87915,               0.002872,               0.002872,               0.002872
                    111,                0.32396,                0.30108,                0.91567,                0.94771,                0.90823,                0.95367,                0.78924,                0.21614,                0.22182,                0.87847,               0.002806,               0.002806,               0.002806
                    112,                0.32353,                  0.303,                0.91612,                0.95055,                0.90874,                0.95433,                0.78957,                0.21521,                0.22118,                0.87794,                0.00274,                0.00274,                0.00274
                    113,                0.32266,                0.30057,                0.91583,                0.94596,                0.91143,                 0.9534,                0.79001,                0.21436,                0.22051,                0.87753,               0.002674,               0.002674,               0.002674
                    114,                 0.3217,                0.29962,                0.91531,                0.94604,                0.91255,                0.95369,                0.79152,                0.21327,                0.21959,                0.87692,               0.002608,               0.002608,               0.002608
                    115,                0.32033,                0.29783,                0.91564,                0.94751,                0.91234,                0.95404,                0.79268,                0.21229,                0.21905,                0.87637,               0.002542,               0.002542,               0.002542
                    116,                0.31515,                0.29548,                0.91359,                0.94479,                0.91432,                 0.9542,                0.79287,                0.21136,                0.21837,                0.87582,               0.002476,               0.002476,               0.002476
                    117,                0.31295,                0.29229,                0.91008,                0.94455,                0.91308,                0.95411,                0.79331,                0.21034,                0.21732,                 0.8753,                0.00241,                0.00241,                0.00241
                    118,                0.31109,                 0.2912,                0.91005,                0.94705,                0.91277,                0.95511,                0.79387,                0.20966,                0.21654,                0.87486,               0.002344,               0.002344,               0.002344
                    119,                 0.3056,                0.28748,                0.90846,                0.94731,                0.91308,                0.95505,                0.79373,                0.20888,                0.21597,                0.87445,               0.002278,               0.002278,               0.002278
                    120,                0.30669,                0.28933,                0.91093,                0.95399,                0.91017,                0.95547,                0.79423,                0.20767,                 0.2152,                0.87399,               0.002212,               0.002212,               0.002212
                    121,                0.30438,                0.28834,                0.90923,                0.95194,                0.91469,                0.95597,                0.79468,                0.20672,                0.21447,                 0.8736,               0.002146,               0.002146,               0.002146
                    122,                0.30454,                0.28613,                 0.9065,                0.95169,                0.91546,                0.95599,                0.79556,                0.20564,                0.21368,                0.87317,                0.00208,                0.00208,                0.00208
                    123,                0.30177,                0.28595,                0.90667,                0.95077,                0.91631,                0.95667,                 0.7971,                0.20477,                0.21297,                0.87278,               0.002014,               0.002014,               0.002014
                    124,                0.29965,                0.28228,                0.90806,                0.95073,                0.91504,                0.95668,                 0.7972,                 0.2038,                0.21235,                0.87235,               0.001948,               0.001948,               0.001948
                    125,                0.29716,                0.28146,                0.90396,                0.95085,                0.91695,                0.95705,                0.79891,                0.20301,                0.21157,                0.87195,               0.001882,               0.001882,               0.001882
                    126,                0.29628,                0.27821,                0.90378,                0.95173,                0.91628,                0.95684,                0.79903,                0.20216,                0.21092,                0.87153,               0.001816,               0.001816,               0.001816
                    127,                0.29392,                0.27879,                0.90222,                0.95004,                 0.9187,                0.95735,                0.80014,                0.20141,                0.21021,                 0.8711,                0.00175,                0.00175,                0.00175
                    128,                0.29461,                0.27999,                0.90187,                0.95259,                0.91822,                0.95764,                0.80062,                0.20062,                0.20952,                0.87073,               0.001684,               0.001684,               0.001684
                    129,                 0.2915,                0.27666,                0.90312,                0.95124,                0.91854,                0.95774,                0.80075,                0.19995,                0.20893,                 0.8704,               0.001618,               0.001618,               0.001618
                    130,                0.29342,                0.27696,                0.90141,                0.95107,                0.91879,                0.95764,                0.80004,                0.19915,                0.20828,                0.87001,               0.001552,               0.001552,               0.001552
                    131,                0.28778,                0.27371,                0.89945,                0.95022,                0.92188,                0.95841,                0.80154,                0.19854,                0.20762,                0.86968,               0.001486,               0.001486,               0.001486
                    132,                0.28879,                0.27414,                0.89999,                0.95058,                0.92037,                 0.9582,                 0.8014,                0.19789,                0.20695,                0.86932,                0.00142,                0.00142,                0.00142
                    133,                0.28367,                0.27083,                0.89762,                0.95173,                0.92089,                  0.958,                0.80179,                0.19741,                0.20637,                0.86896,               0.001354,               0.001354,               0.001354
                    134,                 0.2842,                0.26924,                0.89647,                0.95274,                0.92081,                0.95795,                 0.8023,                0.19678,                0.20581,                0.86862,               0.001288,               0.001288,               0.001288
                    135,                0.28069,                0.26747,                0.89575,                0.95229,                0.92102,                0.95764,                0.80265,                0.19623,                0.20545,                0.86835,               0.001222,               0.001222,               0.001222
                    136,                0.28006,                0.26837,                0.89548,                0.95223,                0.92125,                 0.9579,                0.80291,                0.19577,                0.20495,                0.86812,               0.001156,               0.001156,               0.001156
                    137,                0.27815,                0.26588,                0.89328,                0.95201,                0.92101,                 0.9579,                0.80301,                0.19523,                0.20457,                0.86786,                0.00109,                0.00109,                0.00109
                    138,                0.28097,                0.26705,                0.89355,                0.95227,                0.92155,                0.95794,                0.80373,                0.19479,                0.20412,                0.86761,               0.001024,               0.001024,               0.001024
                    139,                0.27826,                0.26633,                 0.8944,                0.95299,                0.92159,                0.95803,                0.80404,                0.19429,                0.20371,                0.86733,               0.000958,               0.000958,               0.000958
                    140,                0.27263,                0.26177,                0.89228,                0.95209,                 0.9218,                0.95796,                0.80386,                0.19382,                0.20329,                0.86707,               0.000892,               0.000892,               0.000892
                    141,                0.25959,                0.24452,                0.88469,                0.95131,                0.92091,                0.95779,                 0.8039,                0.19345,                  0.203,                0.86685,               0.000826,               0.000826,               0.000826
                    142,                0.24376,                0.23437,                 0.8772,                 0.9517,                0.92115,                0.95834,                0.80421,                0.19306,                0.20256,                0.86665,                0.00076,                0.00076,                0.00076
                    143,                0.23889,                0.23165,                0.87663,                 0.9519,                0.92249,                0.95866,                 0.8049,                0.19273,                0.20221,                0.86646,               0.000694,               0.000694,               0.000694
                    144,                0.23373,                0.22709,                0.87465,                0.95205,                0.92259,                0.95881,                0.80541,                0.19227,                0.20174,                0.86623,               0.000628,               0.000628,               0.000628
                    145,                0.23066,                0.22537,                0.87279,                0.95185,                0.92388,                0.95974,                0.80589,                0.19197,                0.20141,                0.86607,               0.000562,               0.000562,               0.000562
                    146,                0.22997,                0.22499,                0.87272,                0.95304,                0.92366,                0.95989,                0.80636,                0.19169,                0.20117,                0.86592,               0.000496,               0.000496,               0.000496
                    147,                0.22744,                0.22364,                0.87072,                 0.9518,                0.92379,                0.95975,                 0.8061,                0.19136,                0.20086,                0.86575,                0.00043,                0.00043,                0.00043
                    148,                0.22541,                0.22113,                0.86948,                 0.9525,                0.92325,                0.95982,                0.80624,                0.19108,                0.20059,                 0.8656,               0.000364,               0.000364,               0.000364
                    149,                 0.2248,                 0.2206,                0.86984,                0.95331,                0.92272,                0.96002,                0.80654,                0.19079,                0.20032,                0.86545,               0.000298,               0.000298,               0.000298
                    150,                0.21864,                0.21608,                0.86907,                0.95366,                0.92349,                0.96045,                0.80713,                0.19056,                0.20011,                 0.8653,               0.000232,               0.000232,               0.000232
